ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON
14346;1326;-38.0786603122;145.2512159786;-38.0788162302;145.2511852961
14347;1327;-37.9995538579;145.2579811185;-37.9996445315;145.2579627301
14348;1327;-37.9996445315;145.2579627301;-38.0001248293;145.2578653259
14349;1327;-38.0001248293;145.2578653259;-38.0002987995;145.2582362127
14350;1327;-38.0002987995;145.2582362127;-38.0003531175;145.2583520141
14351;1328;-38.0325639498;145.3648017905;-38.0328672232;145.3646478999
14352;1328;-38.0328672232;145.3646478999;-38.0328672494;145.3646478866
14353;1328;-38.0328672494;145.3646478866;-38.0329432985;145.3646092966
14354;1329;-37.9750058189;145.2581590738;-37.975159825;145.2581085847
14355;1330;-38.012280755;145.3340661887;-38.012355954;145.3339694733
14356;1330;-38.012355954;145.3339694733;-38.0125682676;145.3336964096
14357;1330;-38.0125682676;145.3336964096;-38.0128226424;145.3333937137
14358;1330;-38.0128226424;145.3333937137;-38.012872678;145.3333341729
14359;1331;-38.1024526565;145.2463123854;-38.1025417972;145.246294419
14360;1332;-38.1233495243;145.3399575291;-38.1233524815;145.3399811464
14361;1332;-38.1233524815;145.3399811464;-38.1234496641;145.3407573018
14362;1332;-38.1234496641;145.3407573018;-38.1234651656;145.3408811095
14363;1333;-37.9770689166;145.2692327771;-37.9771428604;145.2692197332
14364;1333;-37.9771428604;145.2692197332;-37.9777138506;145.2691190081
14365;1334;-38.0873240786;145.3384349834;-38.0874117364;145.3384191074
14366;1334;-38.0874117364;145.3384191074;-38.0879267828;145.3383258252
14367;1334;-38.0879267828;145.3383258252;-38.0879996625;145.3383126255
14368;1335;-37.956475953;145.2758881929;-37.9564892562;145.2759646606
14369;1335;-37.9564892562;145.2759646606;-37.9571300723;145.2757868058
14370;1335;-37.9571300723;145.2757868058;-37.9571303074;145.2757867406
14371;1335;-37.9571303074;145.2757867406;-37.9572205729;145.2757616876
14372;1336;-38.0262349201;145.2904061803;-38.0261597807;145.2904495935
14373;1336;-38.0261597807;145.2904495935;-38.0255543499;145.2907993887
14374;1336;-38.0255543499;145.2907993887;-38.0255439287;145.2907686544
14375;1336;-38.0255439287;145.2907686544;-38.0255221408;145.2906956569
14376;1336;-38.0255221408;145.2906956569;-38.0255150179;145.2906718023
14377;1336;-38.0255150179;145.2906718023;-38.025489507;145.2905734495
14378;1336;-38.025489507;145.2905734495;-38.0254674495;145.2904737439
14379;1336;-38.0254674495;145.2904737439;-38.0254488724;145.2903729333
14380;1336;-38.0254488724;145.2903729333;-38.0254338295;145.2902711702
14381;1336;-38.0254338295;145.2902711702;-38.0254223283;145.29016868
14382;1336;-38.0254223283;145.29016868;-38.0254144149;145.290065645
14383;1336;-38.0254144149;145.290065645;-38.0254101048;145.2899622711
14384;1336;-38.0254101048;145.2899622711;-38.0254094001;145.2898587644
14385;1336;-38.0254094001;145.2898587644;-38.02541228;145.2897553042
14386;1336;-38.02541228;145.2897553042;-38.025414705;145.2897096423
14387;1336;-38.025414705;145.2897096423;-38.0254525786;145.2890880408
14388;1336;-38.0254525786;145.2890880408;-38.0254587209;145.2890141025
14389;1336;-38.0254587209;145.2890141025;-38.0254676224;145.2889459034
14390;1336;-38.0254676224;145.2889459034;-38.0255252485;145.2885769311
14391;1337;-38.1200568749;145.2612208704;-38.1200691246;145.2613219764
14392;1337;-38.1200691246;145.2613219764;-38.1202616111;145.2629108163
14393;1337;-38.1202616111;145.2629108163;-38.120272627;145.2630017504
14394;1338;-38.0830137323;145.373351553;-38.0831247972;145.3733292886
14395;1338;-38.0831247972;145.3733292886;-38.0838154613;145.3729848764
14396;1338;-38.0838154613;145.3729848764;-38.0838406235;145.3731857899
14397;1338;-38.0838406235;145.3731857899;-38.0838282352;145.3731882733
14398;1338;-38.0838282352;145.3731882733;-38.083124797;145.3733292886
14399;1338;-38.083124797;145.3733292886;-38.0832127687;145.3749408383
14400;1338;-38.0832127687;145.3749408383;-38.083239992;145.3749351648
14401;1338;-38.083239992;145.3749351648;-38.0840338688;145.374769712
14402;1338;-38.0840338688;145.374769712;-38.0840477237;145.3747668245
14403;1338;-38.0840477237;145.3747668245;-38.0840436773;145.3747545854
14404;1338;-38.0840436773;145.3747545854;-38.0840058028;145.3746400277
14405;1338;-38.0840058028;145.3746400277;-38.0838380373;145.3733836813
14406;1338;-38.0838380373;145.3733836813;-38.0838404111;145.3732020448
14407;1338;-38.0838404111;145.3732020448;-38.0838406235;145.3731857899
14408;1339;-38.0515989508;145.3170060998;-38.0521182632;145.3173311847
14409;1339;-38.0521182632;145.3173311847;-38.052188185;145.3173749555
14410;1340;-38.0230191998;145.3212227861;-38.0232557133;145.3211976798
14411;1340;-38.0232557133;145.3211976798;-38.0232970553;145.3196484649
14412;1340;-38.0232970553;145.3196484649;-38.0232983058;145.3197349104
14413;1340;-38.0232983058;145.3197349104;-38.0233007704;145.3199052885
14414;1340;-38.0233007704;145.3199052885;-38.0232972668;145.3201692684
14415;1340;-38.0232972668;145.3201692684;-38.0232814835;145.3205207081
14416;1340;-38.0232814835;145.3205207081;-38.0232525374;145.3208890046
14417;1340;-38.0232525374;145.3208890046;-38.0232557133;145.3211976798
14418;1340;-38.0232557133;145.3211976798;-38.0233446416;145.3211887534
14419;1340;-38.0233446416;145.3211887534;-38.0234316243;145.3211855037
14420;1340;-38.0234316243;145.3211855037;-38.0234968822;145.3211873876
14421;1340;-38.0234968822;145.3211873876;-38.0235429364;145.3211979703
14422;1341;-38.1236364552;145.244465592;-38.1236918699;145.2444544207
14423;1341;-38.1236918699;145.2444544207;-38.1236915121;145.2444544928
14424;1341;-38.1236915121;145.2444544928;-38.1242281319;145.2443463121
14425;1341;-38.1242281319;145.2443463121;-38.1250042917;145.2441898523
14426;1341;-38.1250042917;145.2441898523;-38.1250048064;145.2441897485
14427;1341;-38.1250048064;145.2441897485;-38.1250975185;145.2441710592
14428;1342;-38.1332181844;145.3259974624;-38.1332297339;145.3260842562
14429;1342;-38.1332297339;145.3260842562;-38.1333476145;145.3269701583
14430;1342;-38.1333476145;145.3269701583;-38.1333599607;145.3270629458
14431;1343;-38.0582833293;145.3395446242;-38.0582929612;145.33963422
14432;1343;-38.0582929612;145.33963422;-38.0584037169;145.3406645127
14433;1343;-38.0584037169;145.3406645127;-38.0584090269;145.3407586636
14434;1343;-38.0584090269;145.3407586636;-38.0584067447;145.3408294234
14435;1343;-38.0584067447;145.3408294234;-38.0583933736;145.340938314
14436;1343;-38.0583933736;145.340938314;-38.0583795482;145.3410071074
14437;1343;-38.0583795482;145.3410071074;-38.0583601612;145.3410737091
14438;1343;-38.0583601612;145.3410737091;-38.0583260128;145.3411578832
14439;1343;-38.0583260128;145.3411578832;-38.0582829911;145.3412352707
14440;1343;-38.0582829911;145.3412352707;-38.0582417197;145.3412911612
14441;1343;-38.0582417197;145.3412911612;-38.0582319297;145.341304419
14442;1343;-38.0582319297;145.341304419;-38.0581889353;145.3413500403
14443;1343;-38.0581889353;145.3413500403;-38.0581575008;145.3413602443
14444;1344;-37.9618528385;145.2689954736;-37.9619047374;145.2690461169
14445;1344;-37.9619047374;145.2690461169;-37.9619798129;145.2691026678
14446;1344;-37.9619798129;145.2691026678;-37.9620603156;145.2691457087
14447;1344;-37.9620603156;145.2691457087;-37.9621233309;145.2691686247
14448;1344;-37.9621233309;145.2691686247;-37.9621878868;145.2691832384
14449;1344;-37.9621878868;145.2691832384;-37.9622751569;145.2691895592
14450;1344;-37.9622751569;145.2691895592;-37.9623406134;145.2691843538
14451;1344;-37.9623406134;145.2691843538;-37.9623620514;145.2691793406
14452;1344;-37.9623620514;145.2691793406;-37.9624265547;145.2691642568
14453;1345;-38.05458246;145.2989468222;-38.0545961318;145.2990541212
14454;1345;-38.0545961318;145.2990541212;-38.0547521476;145.300278617
14455;1345;-38.0547521476;145.300278617;-38.0546476623;145.3002999103
14456;1345;-38.0546476623;145.3002999103;-38.054487028;145.3003326462
14457;1345;-38.054487028;145.3003326462;-38.0547521476;145.300278617
14458;1345;-38.0547521476;145.300278617;-38.0547535792;145.3002898682
14459;1345;-38.0547535792;145.3002898682;-38.0549592435;145.3002479512
14460;1346;-38.0745340832;145.3480646175;-38.0745453276;145.3481557224
14461;1346;-38.0745453276;145.3481557224;-38.0747736558;145.3500058201
14462;1346;-38.0747736558;145.3500058201;-38.0746027949;145.3500507361
14463;1346;-38.0746027949;145.3500507361;-38.0747736558;145.3500058201
14464;1346;-38.0747736558;145.3500058201;-38.0749119786;145.3499694581
14465;1347;-38.0591170949;145.3646078947;-38.0592324002;145.3642099125
14466;1347;-38.0592324002;145.3642099125;-38.0593652696;145.3637602788
14467;1347;-38.0593652696;145.3637602788;-38.0594125786;145.363600182
14468;1347;-38.0594125786;145.363600182;-38.0604623905;145.3649700575
14469;1347;-38.0604623905;145.3649700575;-38.0603777385;145.3649915361
14470;1347;-38.0603777385;145.3649915361;-38.0603734216;145.3649917055
14471;1347;-38.0603734216;145.3649917055;-38.0602914478;145.3649949235
14472;1347;-38.0602914478;145.3649949235;-38.0601641746;145.3649660581
14473;1347;-38.0601641746;145.3649660581;-38.0600304541;145.3648851709
14474;1347;-38.0600304541;145.3648851709;-38.0592324002;145.3642099125
14475;1347;-38.0592324002;145.3642099125;-38.0593652567;145.3637603225
14476;1348;-37.9933636943;145.2542772094;-37.9937831536;145.2541403502
14477;1348;-37.9937831536;145.2541403502;-37.9942927447;145.2539762196
14478;1348;-37.9942927447;145.2539762196;-37.99457395;145.2538706423
14479;1348;-37.99457395;145.2538706423;-37.9959116515;145.2533614721
14480;1348;-37.9959116515;145.2533614721;-37.9963247183;145.2532212215
14481;1348;-37.9963247183;145.2532212215;-37.9966662988;145.2531097633
14482;1348;-37.9966662988;145.2531097633;-37.9967246302;145.2530901265
14483;1349;-38.0685570097;145.3200097913;-38.0685296388;145.3197968139
14484;1349;-38.0685296388;145.3197968139;-38.0689286385;145.3197148088
14485;1349;-38.0689286385;145.3197148088;-38.0689973647;145.3197006837
14486;1350;-37.9980377912;145.2992167754;-37.9985603126;145.2991093485
14487;1350;-37.9985603126;145.2991093485;-37.9986460795;145.299084834
